Wire 1, Traction
Wire 2, Brake Electric
Wire 3, Reverser Forward A
Wire 4, Reverser Forward B -- Wires 3 and 4 crossed on rear coupler
Wire 5, Pneumatic brake
Wire 6, Multi Traction signal
Wire 7, Battery Power
Wire 8, Deadman brake
Wire 9, Doors unlocked, block traction and engage mechanical brake
Wire 10, Emergency brake
Wire 11, Passenger Emergency brake
Wire 12, Deadman switch for traction unblocking
Wire 13, Orientation Wire 1
Wire 14, Orientation Wire 2


***********Lighting***********************

Wire 31, Headlights
Wire 32, Tail lights -- Cross the wires

Wire 20, Blinker left
Wire 21, Blinker right
Wire 22, Hazard Lights


**************Sounds*************************

Wire 50, Fans
